School,Type,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Wins,Losses,Record,PF,PA,Differential,Latitude,Longitude,Capacity,AvgTemp,TotalRevenue,TicketSales,Contributions,Rights/Licensing,StudentFees,SchoolFunds,OtherIncome,GSR,FGR
Utah,P5,Pac-12,Kyle Whittingham,4002917,4002917,1090000,402500,4140000,12250000,11,3,0.786,452,210,242,40.7774,-111.9301,45807,64.4,91386593,19931102,12399426,50004559,5979493,6615020,4597095,93,66
Utah State,G5,Mt. West,Matt Wells,2800000,2808300,1000000,20000,3331333,11363333,7,6,0.538,373,368,5,41.7403,-111.8418,25513,61,38712397,2023744,6469402,5317162,4980942,18515426,4251384,92,69
Vanderbilt,P5,SEC,Derek Mason,3368244,3368244,0,0,0,0,3,9,0.25,198,381,-183,36.1714,-86.7844,40350,70.4,0,0,0,0,,,,95,81
Virginia,P5,ACC,Bronco Mendenhall,3700000,3700000,2165000,85000,3400000,18962500,9,5,0.643,449,380,69,38.0374,-78.4856,61500,68.2,106581570,11506754,27062954,42298941,14439959,3989842,10920667,86,73
Virginia Tech,P5,ACC,Justin Fuente,4000000,4000000,435000,50000,3670000,15000000,8,5,0.615,401,321,80,37.23,-80.4277,66233,64.2,98485395,20543204,18897304,39467945,10275759,2579,7585698,87,72
Wake Forest,P5,ACC,Dave Clawson,2189063,2189063,0,0,0,0,8,5,0.615,414,378,36,36.1029,-80.261,31500,70,0,0,0,0,,,,86,73
Washington,P5,Pac-12,Chris Petersen,4625000,4625000,1050000,450000,5940048,21770833,8,5,0.615,416,252,164,47.6217,-122.3238,70500,60.8,130919331,29462113,31032425,55327527,0,4151964,13818648,90,66
Washington State,P5,Pac-12,Mike Leach,3750000,3750000,725000,250000,3463790,4900000,6,7,0.462,491,408,83,46.7327,-117.1634,32248,59.4,65117715,9508360,11704837,39778837,1502845,3959170,5237290,80,55
West Virginia,P5,Big 12,Dana Holgorsen,3700000,3700000,730000,0,2925000,13208333,5,7,0.417,247,346,-99,39.6379,-79.9468,60000,63.8,102684423,19226587,19017866,52764762,3902899,0,7768814,66,58
Western Kentucky,G5,C-USA,Tyson Helton,800000,800000,400000,0,1068348,1200000,9,4,0.692,330,261,69,36.9725,-86.4371,22113,69.8,30595026,2296623,2979324,4551831,3972710,17323251,-353616,71,52
Western Michigan,G5,MAC,Tim Lester,800000,800000,346500,65250,1138000,600000,7,6,0.538,430,337,93,42.2749,-85.5882,30200,54.2,36223080,1855560,3760581,5052993,0,24652287,3171183,80,47
Wisconsin,P5,Big Ten,Paul Chryst,4150000,4150000,1250000,1650,4370811,14993055,10,4,0.714,477,237,240,43.0809,-89.3921,80321,56.8,151966795,33285210,17780846,89313840,0,9565207,7715004,90,77
Wyoming,G5,Mt. West,Craig Bohl,2137000,2137000,450000,90000,1853286,6525000,8,5,0.615,330,231,99,41.3095,-105.6097,29181,62,44910641,3971849,10844094,7239992,2268940,18059378,4662599,85,51
